Category,Metric,Value,,Value,Expected Probability,Observed Frequency,Cumulative Probability,Adjusted P-Value
Towards Center,,,,23,0.000000,3429,0.009631,
Towards Center,,,,24,0.000000,1947,0.009825,
Towards Center,,,,25,0.000000,1047,0.009930,
Towards Center,,,,26,0.000000,434,0.009974,
Towards Center,,,,27,0.000000,184,0.009992,
Towards Center,,,,28,0.000000,58,0.009998,
Towards Center,,,,29,0.000000,19,0.010000,
Towards Center,,,,30,0.000000,2,0.010000,
Towards Center,,,,31,0.000000,1,0.010000,
Zero Sums Total,mean,10.0169,,0,0.000000,1,,
Zero Sums Total,variance,7.3846,,1,0.000000,19,0.000002,
Zero Sums Total,stdDev,2.7175,,2,0.000000,92,0.000011,
Zero Sums Total,median,10,,3,0.000000,342,0.000045,
Zero Sums Total,min,0,,4,0.000000,1114,0.000157,
Zero Sums Total,max,25,,5,0.000000,2623,0.000419,
Zero Sums Total,skewness,0.1621,,6,0.000000,5133,0.000932,
Zero Sums Total,kurtosis,-0.0231,,7,0.000000,8489,0.001781,
Zero Sums Total,,,,8,0.000000,11771,0.002958,
Zero Sums Total,,,,9,0.000000,13990,0.004357,
Zero Sums Total,,,,10,0.000000,14472,0.005804,
Zero Sums Total,,,,11,0.000000,13243,0.007129,
Zero Sums Total,,,,12,0.000000,10832,0.008212,
Zero Sums Total,,,,13,0.000000,7630,0.008975,
Zero Sums Total,,,,14,0.000000,4982,0.009473,
Zero Sums Total,,,,15,0.000000,2738,0.009747,
Zero Sums Total,,,,16,0.000000,1417,0.009889,
Zero Sums Total,,,,17,0.000000,695,0.009958,
Zero Sums Total,,,,18,0.000000,273,0.009985,
Zero Sums Total,,,,19,0.000000,102,0.009996,
Zero Sums Total,,,,20,0.000000,28,0.009999,
Zero Sums Total,,,,21,0.000000,9,0.009999,
Zero Sums Total,,,,22,0.000000,3,0.010000,
Zero Sums Total,,,,23,0.000000,1,0.010000,
Zero Sums Total,,,,25,0.000000,1,0.010000,
Density (Top 5 Sum),mean,13.7220,,10,0.000000,1465,0.000147,
Density (Top 5 Sum),variance,2.8119,,11,0.000000,6986,0.000845,
Density (Top 5 Sum),stdDev,1.6769,,12,0.000000,15825,0.002428,
Density (Top 5 Sum),median,14.0000,,13,0.000000,22500,0.004678,
Density (Top 5 Sum),min,10.0000,,14,0.000000,21908,0.006868,
Density (Top 5 Sum),max,22.0000,,15,0.000000,16776,0.008546,
Density (Top 5 Sum),skewness,0.2750,,16,0.000000,9285,0.009475,
Density (Top 5 Sum),kurtosis,-0.0731,,17,0.000000,3692,0.009844,
Density (Top 5 Sum),,,,18,0.000000,1182,0.009962,
Density (Top 5 Sum),,,,19,0.000000,285,0.009990,
Density (Top 5 Sum),,,,20,0.000000,84,0.009999,
Density (Top 5 Sum),,,,21,0.000000,11,0.010000,
Density (Top 5 Sum),,,,22,0.000000,1,0.010000,
Variance (Within-Run Spread),mean,0.9728,,0.3158,0.000000,1,0.000000,
Variance (Within-Run Spread),variance,0.0497,,0.3684,0.000000,27,0.000003,
Variance (Within-Run Spread),stdDev,0.2228,,0.4211,0.000000,76,0.000010,
Variance (Within-Run Spread),median,0.9474,,0.4737,0.000000,248,0.000035,
Variance (Within-Run Spread),min,0.3158,,0.5263,0.000000,691,0.000104,
Variance (Within-Run Spread),max,2.7895,,0.5789,0.000000,1506,0.000255,
Variance (Within-Run Spread),skewness,0.6682,,0.6316,0.000000,2882,0.000543,
Variance (Within-Run Spread),kurtosis,0.9346,,0.6842,0.000000,4679,0.001011,
Variance (Within-Run Spread),,,,0.7368,0.000000,6574,0.001668,
Variance (Within-Run Spread),,,,0.7895,0.000000,8155,0.002484,
Variance (Within-Run Spread),,,,0.8421,0.000000,9570,0.003441,
Variance (Within-Run Spread),,,,0.8947,0.000000,10142,0.004455,
Variance (Within-Run Spread),,,,0.9474,0.000000,9806,0.005436,
Variance (Within-Run Spread),,,,1,0.000000,9113,0.006347,
Variance (Within-Run Spread),,,,1.0526,0.000000,8102,0.007157,
Variance (Within-Run Spread),,,,1.1053,0.000000,6835,0.007841,
Variance (Within-Run Spread),,,,1.1579,0.000000,5430,0.008384,
Variance (Within-Run Spread),,,,1.2105,0.000000,4315,0.008815,
Variance (Within-Run Spread),,,,1.2632,0.000000,3370,0.009152,
Variance (Within-Run Spread),,,,1.3158,0.000000,2445,0.009397,
Variance (Within-Run Spread),,,,1.3684,0.000000,1761,0.009573,
Variance (Within-Run Spread),,,,1.4211,0.000000,1314,0.009704,
Variance (Within-Run Spread),,,,1.4737,0.000000,885,0.009793,
Variance (Within-Run Spread),,,,1.5263,0.000000,638,0.009857,
Variance (Within-Run Spread),,,,1.5789,0.000000,475,0.009904,
Variance (Within-Run Spread),,,,1.6316,0.000000,310,0.009935,
Variance (Within-Run Spread),,,,1.6842,0.000000,211,0.009956,
Variance (Within-Run Spread),,,,1.7368,0.000000,121,0.009968,
Variance (Within-Run Spread),,,,1.7895,0.000000,88,0.009977,
Variance (Within-Run Spread),,,,1.8421,0.000000,78,0.009985,
Variance (Within-Run Spread),,,,1.8947,0.000000,45,0.009989,
Variance (Within-Run Spread),,,,1.9474,0.000000,44,0.009994,
Variance (Within-Run Spread),,,,2,0.000000,25,0.009996,
Variance (Within-Run Spread),,,,2.0526,0.000000,14,0.009998,
Variance (Within-Run Spread),,,,2.1053,0.000000,6,0.009998,
Variance (Within-Run Spread),,,,2.1579,0.000000,6,0.009999,
Variance (Within-Run Spread),,,,2.2105,0.000000,3,0.009999,
Variance (Within-Run Spread),,,,2.2632,0.000000,5,0.010000,
Variance (Within-Run Spread),,,,2.3158,0.000000,3,0.010000,
Variance (Within-Run Spread),,,,2.7895,0.000000,1,0.010000,


Max Counts (Statistical Summary and Frequency Distribution)
Metric,Value,Count,Expected Frequency,Observed Frequency,Cumulative Probability,Adjusted P-Value
Mean,7.3947,7,0.684211,0.684211,26
Variance,0.3968,8,0.236842,0.921053,35
StdDev,0.6299,9,0.078947,1.000000,38
Median,7,,0.000000,,
Min,7,,0.000000,,
Max,9,,0.000000,,
Skewness,1.3482,,0.000000,,
Kurtosis,0.6366,,0.000000,,


Max Hits per Number (Binomial p-values)
Number,Max Hits Observed,P-Value
0,9,0.000000
1,7,0.000054
2,8,0.000006
3,8,0.000006
4,7,0.000054
5,7,0.000054
6,8,0.000006
7,8,0.000006
8,7,0.000054
9,7,0.000054
10,7,0.000054
11,7,0.000054
12,7,0.000054
13,8,0.000006
14,7,0.000054
15,7,0.000054
16,7,0.000054
17,8,0.000006
18,7,0.000054
19,7,0.000054
20,7,0.000054
21,7,0.000054
22,7,0.000054
23,7,0.000054
24,8,0.000006
25,9,0.000000
26,7,0.000054
27,9,0.000000
28,7,0.000054
29,7,0.000054
30,7,0.000054
31,7,0.000054
32,7,0.000054
33,7,0.000054
34,8,0.000006
35,7,0.000054
36,8,0.000006
37,7,0.000054
